title,year
The Birth of a Nation,1915
Intolerance,1916
Cleopatra,1917
Tarzan,1918
Broken Blossoms,1919
Dr. Jekyll and Mr. Hyde,1920
The Cabinet of Dr. Caligari,1920
The Kid,1921
Nosferatu,1922
Safety Last!,1923
Sherlock Jr.,1924
Battleship Potemkin,1925
The Gold Rush,1925
The General,1926
Metropolis,1927
Sunrise: A Song of Two Humans,1927
The Passion of Joan of Arc,1928
The Broadway Melody,1929
All Quiet on the Western Front,1930
City Lights,1931
Frankenstein,1931
Freaks,1932
King Kong,1933
Duck Soup,1933
The Thin Man,1934
It Happened One Night,1934
Mutiny on the Bounty,1935
Bride of Frankenstein,1935
Modern Times,1936
Mr. Deeds Goes to Town,1936
Snow White and the Seven Dwarfs,1937
You Can't Take It With You,1938
The Adventures of Robin Hood,1938
Mr. Smith Goes to Washington,1939
Gone with the Wind,1939
The Wizard of Oz,1939
The Great Dictator,1940
Rebecca,1940
The Grapes of Wrath,1940
Citizen Kane,1941
The Maltese Falcon,1941
Casablanca,1942
Bambi,1942
Shadow of a Doubt,1943
Gaslight,1944
Double Indemnity,1944
Spellbound,1945
The Lost Weekend,1945
It's a Wonderful Life,1946
The Best Years of Our Lives,1946
Miracle on 34th Street,1947
The Bicycle Thief,1948
The Treasure of the Sierra Madre,1948
The Third Man,1949
Sunset Blvd.,1950
Rashomon,1950
All About Eve,1950
The African Queen,1951
Singin' in the Rain,1952
Ikiru,1952
Tokyo Story,1953
Seven Samurai,1954
Rear Window,1954
On the Waterfront,1954
Les diaboliques,1955
The Searchers,1956
12 Angry Men,1957
The Bridge on the River Kwai,1957
The Seventh Seal,1957
Vertigo,1958
North by Northwest,1959
Some Like It Hot,1959
Psycho,1960
The Apartment,1960
Yojimbo,1961
Judgment at Nuremberg,1961
Lawrence of Arabia,1962
To Kill a Mockingbird,1962
The Great Escape,1963
Dr. Strangelove,1964
For a Few Dollars More,1965
"The Good, the Bad, and the Ugly",1966
Persona,1966
Cool Hand Luke,1967
Once Upon a Time in the West,1968
2001: A Space Odyssey,1968
Butch Cassidy and the Sundance Kid,1969
Patton,1970
A Clockwork Orange,1971
The Godfather,1972
The Sting,1973
Paper Moon,1973
The Godfather: Part II,1974
Chinatown,1974
One Flew Over the Cuckoo's Nest,1975
Jaws,1975
Taxi Driver,1976
Rocky,1976
Star Wars,1977
The Deer Hunter,1978
Apocalypse Now,1979
Alien,1979
Star Wars: Episode V - The Empire Strikes Back,1980
The Shining,1980
Raiders of the Lost Ark,1981
Das Boot,1981
Blade Runner,1982
The Thing,1982
Star Wars: Episode VI - Return of the Jedi,1983
Scarface,1983
The Terminator,1984
Amadeus,1984
Back to the Future,1985
Ran,1985
Aliens,1986
Platoon,1986
Full Metal Jacket,1987
The Princess Bride,1987
Cinema Paradiso,1988
Die Hard,1988
Indiana Jones and the Last Crusade,1989
Batman,1989
Goodfellas,1990
The Silence of the Lambs,1991
Terminator 2: Judgment Day,1991
Reservoir Dogs,1992
Unforgiven,1992
Schindler's List,1993
Jurassic Park,1993
Pulp Fiction,1994
Forrest Gump,1994
Toy Story,1995
Braveheart,1995
Trainspotting,1996
Fargo,1996
Good Will Hunting,1997
L.A. Confidential,1997
Saving Private Ryan,1998
The Big Lebowski,1998
Fight Club,1999
The Matrix,1999
Gladiator,2000
Memento,2000
Spirited Away,2001
Amelie,2001
The Lord of the Rings: The Two Towers,2002
Catch Me If You Can,2002
The Lord of the Rings: The Return of the King,2003
Finding Nemo,2003
Eternal Sunshine of the Spotless Mind,2004
Million Dollar Baby,2004
Batman Begins,2005
V for Vendetta,2005
The Departed,2006
The Prestige,2006
No Country for Old Men,2007
There Will Be Blood,2007
The Dark Knight,2008
Wall-E,2008
Inglourious Basterds,2009
Up,2009
Inception,2010
Toy Story 3,2010
The Artist,2011
Harry Potter and the Deathly Hallows Part 2,2011
Django Unchained,2012
The Dark Knight Rises,2012
The Wolf of Wall Street,2013
12 Years a Slave,2013
Interstellar,2014
Whiplash,2014
Inside Out,2015
Mad Max: Fury Road,2015
Moonlight,2016
La La Land,2016
Dunkirk,2017
Blade Runner 2049,2017
Avengers: Infinity War,2018
A Star Is Born,2018
